Beer Name (Full),Name,Brewery,Style_Main,Style_Sub,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews
Victory Brewing Company Wild Devil,Wild Devil,Victory Brewing Company,Brett Beer,None,6.7,0,0,31,42,15,83,43,133,0,66,104,14,27,3.943617,4.110638,3.832979,3.868085,3.771277,470
Russian River Brewing Company Defenestration,Defenestration,Russian River Brewing Company,Brett Beer,None,6.5,0,0,34,33,12,44,38,44,2,51,76,32,23,3.888889,4.1,3.988889,3.977778,4.0,45
Dogfish Head Brewery Indian Brown Ale,Indian Brown Ale,Dogfish Head Brewery,Brown Ale,American,7.2,25,45,10,42,18,82,53,13,0,15,71,6,93,4.017743,4.048284,4.000582,4.173357,4.034031,1719
Dogfish Head Brewery Palo Santo Marron,Palo Santo Marron,Dogfish Head Brewery,Brown Ale,American,12.0,25,45,13,52,29,34,65,9,1,24,14,27,88,4.158338,4.110777,4.116195,4.220951,3.928958,1661
Rogue Ales Hazelnut Brown Nectar,Hazelnut Brown Nectar,Rogue Ales,Brown Ale,American,5.6,25,45,6,66,9,32,77,8,0,21,27,14,157,4.066375,3.978537,3.963037,4.149046,4.054054,1258
Big Sky Brewing Company Moose Drool Brown Ale,Moose Drool Brown Ale,Big Sky Brewing Company,Brown Ale,American,5.1,25,45,9,52,4,49,57,5,0,7,36,10,101,3.614721,3.80305,3.605438,3.70557,3.807692,754
Smuttynose Brewing Company Smuttynose Old Brown Dog Ale,Old Brown Dog,Smuttynose Brewing Company,Brown Ale,American,6.7,25,45,14,37,9,51,50,5,0,5,58,3,91,3.754854,3.793689,3.823422,3.95267,4.003034,824
Surly Brewing Company Coffee Bender,Coffee Bender,Surly Brewing Company,Brown Ale,American,5.5,25,45,28,87,9,139,66,16,0,10,64,15,207,4.199362,4.094099,3.985646,4.181818,4.191388,627
Lagunitas Brewing Company Wilco Tango Foxtrot,Wilco Tango Foxtrot,Lagunitas Brewing Company,Brown Ale,American,7.85,25,45,8,72,15,92,70,33,0,30,95,3,124,3.899329,4.000839,3.873322,3.924497,3.931208,596
Brooklyn Brewery Brooklyn Brown Ale,Brown Ale,Brooklyn Brewery,Brown Ale,American,5.6,25,45,15,70,4,43,60,6,0,2,33,1,109,3.623991,3.817762,3.574394,3.705882,3.817186,867
Avery Brewing Company Ellie's Brown Ale,Ellie's Brown Ale,Avery Brewing Company,Brown Ale,American,5.5,25,45,10,48,8,40,48,3,0,5,31,9,98,3.726148,3.910777,3.80212,3.949647,3.975265,566
Surly Brewing Company Bender,Bender,Surly Brewing Company,Brown Ale,American,5.5,25,45,10,75,12,62,71,6,0,8,47,11,155,4.004392,4.13104,4.099561,4.18448,4.285505,683
Founders Brewing Company Founders Sumatra Mountain Brown,Sumatra Mountain Brown,Founders Brewing Company,Brown Ale,American,9.0,25,45,8,103,27,106,105,9,3,12,33,13,218,4.0,3.9,4.0,4.4,4.1,5
Kona Brewing Co. Koko Brown,Koko Brown,Kona Brewing Co.,Brown Ale,American,5.5,25,45,8,43,7,25,43,4,0,61,23,3,80,3.604839,3.620968,3.475806,3.701613,3.548387,62
Abita Brewing Co. Pecan Harvest Ale,Pecan Ale,Abita Brewing Co.,Brown Ale,American,5.2,25,45,11,37,6,19,44,6,0,7,24,4,146,3.38354,3.509317,3.231366,3.330745,3.431677,322
Tommyknocker Brewery Maple Nut Brown Ale,Maple Nut Brown Ale,Tommyknocker Brewery,Brown Ale,American,4.5,25,45,7,53,5,12,99,1,0,1,11,3,130,3.416456,3.481013,3.289873,3.382278,3.418987,395
Tyranena Brewing Company Rocky's Revenge Bourbon Brown,Rocky's Revenge Bourbon Brown,Tyranena Brewing Company,Brown Ale,American,6.0,25,45,9,59,46,18,60,0,0,5,16,19,128,3.71865,3.782958,3.680064,3.836013,3.842444,311
Anchor Brewing Company Brekle's Brown,Brekle's Brown,Anchor Brewing Company,Brown Ale,American,6.0,25,45,21,49,7,61,60,29,0,42,64,0,82,3.588889,3.966667,3.694444,3.627778,3.666667,90
Short's Brewing Company Short's Bellaire Brown Ale,Bellaire Brown Ale,Short's Brewing Company,Brown Ale,American,7.0,25,45,11,63,10,24,72,5,0,11,22,4,118,3.732843,3.789216,3.779412,3.828431,3.904412,204
Hill Farmstead Brewery George,George,Hill Farmstead Brewery,Brown Ale,American,6.0,25,45,14,68,5,66,58,16,0,19,67,7,133,4.0,4.083333,4.0,3.958333,3.916667,12
The Duck-Rabbit Craft Brewery Duck-Rabbit Brown Ale,Brown Ale,The Duck-Rabbit Craft Brewery,Brown Ale,American,5.6,25,45,15,71,11,93,47,12,1,13,97,10,99,3.744027,3.988055,3.638225,3.723549,3.762799,293
Yazoo Brewing Company Dos Perros,Dos Perros,Yazoo Brewing Company,Brown Ale,American,4.9,25,45,12,52,1,29,56,4,2,5,25,8,127,3.576923,3.557692,3.5,3.626923,3.811538,130
Tommyknocker Brewery Imperial Nut Brown Ale,Imperial Nut Brown Ale,Tommyknocker Brewery,Brown Ale,American,9.0,25,45,12,60,40,60,131,16,0,25,44,4,167,3.665094,3.691824,3.718553,3.727987,3.611635,318
Bear Republic Brewing Co. Pete's Brown (Tribute Ale),Peter Brown Tribute Ale,Bear Republic Brewing Co.,Brown Ale,American,6.3,25,45,11,62,14,67,97,9,0,15,49,15,137,3.920195,4.034202,3.809446,3.942997,4.006515,307
Short's Brewing Company Good Humans,Good Humans Ale (Dry Hopped Double Brown Ale),Short's Brewing Company,Brown Ale,American,9.15,25,45,16,59,20,65,65,24,0,26,90,8,117,3.892,3.868,3.768,3.804,3.772,125
Lonerider Brewing Sweet Josie Brown Ale,Sweet Josie Brown Ale,Lonerider Brewing,Brown Ale,American,6.1,25,45,8,57,7,29,76,6,0,9,23,3,103,3.702381,3.892857,3.571429,3.821429,3.857143,42
Firestone Walker Brewing Co. Bravo Brown,Bravo 2017,Firestone Walker Brewing Co.,Brown Ale,American,13.2,25,45,7,38,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.125,4.4375,4.1875,8
Boulder Beer / Wilderness Pub Flashback Ale,Flashback Ale,Boulder Beer / Wilderness Pub,Brown Ale,American,6.8,25,45,17,74,15,98,48,31,2,30,122,17,118,3.795367,3.994208,3.849421,3.889961,3.911197,259
Ale Asylum Mad Town Nut Brown,Madtown Nutbrown,Ale Asylum,Brown Ale,American,5.5,25,45,9,86,3,24,61,9,0,8,31,1,121,3.617188,3.765625,3.71875,3.8125,3.78125,64
Half Acre Beer Company Over Ale,Over Ale,Half Acre Beer Company,Brown Ale,American,6.0,25,45,17,66,6,59,56,10,0,12,80,4,113,3.678218,3.940594,3.816832,3.861386,3.975248,101
Abbaye de Leffe S.A. Leffe Brune / Brown,Leffe Brune / Brown,Abbaye de Leffe S.A.,Brown Ale,Belgian Dark,6.5,15,25,11,57,21,26,98,18,0,41,24,31,125,3.711429,3.971429,3.777143,3.88,3.828571,350
Unibroue Noire De Chambly / Chambly Noire,Noire De Chambly / Chambly Noire,Unibroue,Brown Ale,Belgian Dark,6.2,15,25,15,45,25,18,89,61,0,76,22,66,58,3.656786,3.872075,3.583463,3.665367,3.74025,641
River Horse Brewing Co. River Horse Belgian Freeze Belgian Style Winter Ale,Belgian Freeze Belgian Style Winter Ale,River Horse Brewing Co.,Brown Ale,Belgian Dark,8.0,15,25,7,29,31,18,82,36,1,52,20,16,38,3.603896,3.685065,3.422078,3.522727,3.516234,154
Ithaca Beer Company Cold Front,Cold Front,Ithaca Beer Company,Brown Ale,Belgian Dark,7.2,15,25,16,44,25,24,82,43,0,55,28,31,67,3.774194,3.915323,3.645161,3.673387,3.673387,124
Brouwerij St. Bernardus NV Grottenbier,Grottenbier,Brouwerij St. Bernardus NV,Brown Ale,Belgian Dark,6.5,15,25,36,58,23,20,75,66,0,50,25,64,63,3.82767,4.041262,3.745146,3.808252,3.813107,206
Russian River Brewing Company Rejection,Rejection,Russian River Brewing Company,Brown Ale,Belgian Dark,6.1,15,25,7,85,8,38,91,35,0,40,35,25,97,3.836735,4.05102,3.836735,3.887755,4.010204,49
Brasserie Artisanale De Rullés SPRL La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),La Rullés Cuvée Meilleurs Voeux (Bière De Gaume),Brasserie Artisanale De Rullés SPRL,Brown Ale,Belgian Dark,7.3,15,25,23,60,27,31,121,54,0,73,33,52,63,3.851064,3.968085,3.87234,3.957447,4.085106,47
Rinkuškiai Alaus Darykloje Werewolf,Werewolf,Rinkuškiai Alaus Darykloje,Brown Ale,Belgian Dark,8.2,15,25,7,35,45,18,87,32,0,40,16,4,76,2.951923,3.278846,2.855769,2.903846,2.807692,52
Brouwerij Corsendonk Tempelier,Tempelier,Brouwerij Corsendonk,Brown Ale,Belgian Dark,6.0,15,25,42,50,13,28,89,57,2,60,41,19,68,3.833333,3.777778,3.777778,3.722222,4.0,9
Brouwerij Kerkom Bink Bruin,Bink Bruin,Brouwerij Kerkom,Brown Ale,Belgian Dark,5.5,15,25,12,65,16,33,116,34,0,57,36,12,80,3.587302,3.65873,3.5,3.555556,3.650794,63
Lift Bridge Brewery Biscotti,Biscotti,Lift Bridge Brewery,Brown Ale,Belgian Dark,7.0,15,25,14,31,24,12,53,30,0,51,15,80,76,3.611111,3.666667,3.5,3.166667,3.222222,9
Karl Strauss Brewing Company Fullsuit Belgian-Style Brown Ale,Fullsuit Belgian-Style Brown Ale,Karl Strauss Brewing Company,Brown Ale,Belgian Dark,6.3,15,25,19,50,21,20,62,30,0,38,21,27,103,3.557692,3.75,3.634615,3.576923,3.711538,26
Weyerbacher Brewing Co. Tango,D’Tango Unchained,Weyerbacher Brewing Co.,Brown Ale,Belgian Dark,9.6,15,25,32,52,21,2,81,147,0,117,16,33,47,3.636364,3.590909,3.454545,3.363636,3.318182,11
Brouwerij De Koninck NV Winter Koninck,Winter Koninck,Brouwerij De Koninck NV,Brown Ale,Belgian Dark,6.5,15,25,5,45,24,15,100,31,0,40,15,43,51,3.382353,3.647059,3.463235,3.389706,3.477941,68
Brouwerij Haacht NV Tongerlo 6 Dubbel Bruin,Tongerlo 6 Dubbel Bruin,Brouwerij Haacht NV,Brown Ale,Belgian Dark,6.5,15,25,9,35,5,18,82,25,0,46,10,5,52,3.26087,3.826087,3.326087,3.347826,3.326087,23
Brasserie Thiriez Bière De Noël,Bière De Noël,Brasserie Thiriez,Brown Ale,Belgian Dark,5.8,15,25,19,55,12,17,59,62,1,54,27,63,81,3.707317,3.792683,3.52439,3.573171,3.573171,41
Cathedral Square Brewery Belgian-Style Abbey Ale,Abbey Ale,Cathedral Square Brewery,Brown Ale,Belgian Dark,6.5,15,25,11,46,18,25,60,25,1,43,31,22,92,3.5,3.694444,3.416667,3.361111,3.333333,18
Abbaye de Leffe S.A. Leffe De Noël,Leffe De Noël,Abbaye de Leffe S.A.,Brown Ale,Belgian Dark,6.6,15,25,6,29,23,18,66,28,0,29,14,45,52,3.59375,3.9375,3.125,3.15625,3.09375,16
The Brewer's Art Brewer's Art Proletary Ale,Proletary Ale,The Brewer's Art,Brown Ale,Belgian Dark,5.0,15,25,15,66,14,44,52,4,0,9,31,11,92,3.73913,4.086957,3.847826,3.956522,3.978261,23
North by Northwest Restaurant & Brewery Black Jack (Bourbon Barrel Aged),Black Jack (Bourbon Barrel Aged),North by Northwest Restaurant & Brewery,Brown Ale,Belgian Dark,0.0,15,25,6,37,46,6,49,11,0,20,11,26,77,3.966667,3.866667,3.9,4.0,4.0,15
Brasserie Artisanale De Rullés SPRL La Rullés Brune (Bière De Gaume),La Rullés Brune (Bière De Gaume),Brasserie Artisanale De Rullés SPRL,Brown Ale,Belgian Dark,6.5,15,25,12,55,12,17,100,29,0,43,29,17,94,3.5,3.8,3.5,3.55,3.55,10
Black Raven Brewing Co. La Petite Mort,La Petite Mort,Black Raven Brewing Co.,Brown Ale,Belgian Dark,8.7,15,25,3,12,5,4,19,8,0,9,3,7,12,3.9,4.0,4.0,4.2,4.1,5
Abbaye de Leffe S.A. Leffe Rossa,Leffe Rossa,Abbaye de Leffe S.A.,Brown Ale,Belgian Dark,6.6,15,25,12,26,12,11,49,18,0,18,13,24,48,3.666667,3.666667,3.333333,3.333333,3.5,3
North by Northwest Restaurant & Brewery North By Northwest Okanogan Black Ale,North By Northwest Okanogan Black Ale,North by Northwest Restaurant & Brewery,Brown Ale,Belgian Dark,0.0,15,25,3,22,3,14,18,4,0,4,12,7,46,3.388889,3.833333,3.388889,3.666667,3.777778,9
Brouwerij Contreras Valeir Donker,Valeir Donker,Brouwerij Contreras,Brown Ale,Belgian Dark,6.5,15,25,12,54,6,19,94,29,0,58,16,10,48,4.0,4.272727,3.863636,3.863636,3.863636,11
Ladyface Ale Companie Blind Ambition,Blind Ambition,Ladyface Ale Companie,Brown Ale,Belgian Dark,6.4,15,25,2,7,6,6,16,7,1,7,7,3,18,3.666667,4.0,4.0,3.833333,4.0,3
Samuel Smith Old Brewery (Tadcaster) Samuel Smith's Nut Brown Ale,Nut Brown AleSamuel Smith Old Brewery (Tadcaster),Samuel Smith Old Brewery (Tadcaster),Brown Ale,English,5.0,15,25,11,55,5,25,77,18,0,40,42,2,136,3.92437,4.124905,3.995034,4.097403,4.152788,1309
Cigar City Brewing Maduro Oatmeal Brown Ale,Maduro Brown Ale,Cigar City Brewing,Brown Ale,English,5.5,15,25,12,87,5,54,73,7,0,16,27,13,157,3.885227,3.922727,3.915909,4.056818,4.05,440
Abita Brewing Co. Turbodog,Turbodog,Abita Brewing Co.,Brown Ale,English,5.6,15,25,10,53,5,49,75,8,0,20,34,11,118,3.515964,3.836374,3.513113,3.645382,3.706956,877
Lazy Magnolia Brewing Company Southern Pecan,Southern Pecan,Lazy Magnolia Brewing Company,Brown Ale,English,4.5,15,25,10,42,6,24,69,9,0,15,33,6,149,3.655128,3.671795,3.624359,3.832051,3.961538,390
New Glarus Brewing Company Fat Squirrel Ale,Fat Squirrel Ale,New Glarus Brewing Company,Brown Ale,English,5.8,15,25,12,53,12,44,77,19,1,24,57,9,148,3.690372,3.742888,3.786652,3.905908,3.991247,457
Cigar City Brewing Maduro Oatmeal Brown Ale - Cubano-Style Espresso,Cubano-Style Espresso Brown Ale,Cigar City Brewing,Brown Ale,English,5.5,15,25,18,87,6,76,71,8,0,2,21,19,186,4.162234,3.906915,3.827128,4.071809,4.071809,188
AleSmith Brewing Company AleSmith Nautical Nut Brown Ale,Nut Brown Ale,AleSmith Brewing Company,Brown Ale,English,5.0,15,25,23,74,12,33,52,11,2,7,33,4,131,3.863636,3.993506,3.928571,4.097403,4.149351,77
Lost Coast Brewery and Cafe Downtown Brown,Downtown Brown,Lost Coast Brewery and Cafe,Brown Ale,English,5.0,15,25,4,36,2,15,48,7,0,11,13,1,78,3.57265,3.69943,3.552707,3.685185,3.801994,351
Weyerbacher Brewing Co. Winter Ale,Winter Ale,Weyerbacher Brewing Co.,Brown Ale,English,5.6,15,25,14,38,9,23,70,11,0,23,16,22,86,3.41896,3.7263,3.426606,3.414373,3.525994,327
SweetWater Brewing Company Sweetwater Georgia Brown,Georgia Brown,SweetWater Brewing Company,Brown Ale,English,5.1,15,25,10,66,3,57,80,9,0,12,53,2,138,3.445876,3.502577,3.443299,3.528351,3.693299,194
Long Trail Brewing Co. Harvest,Harvest,Long Trail Brewing Co.,Brown Ale,English,4.4,15,25,10,31,7,35,86,2,0,3,34,6,120,3.543668,3.707424,3.502183,3.580786,3.757642,229
Dark Horse Brewing Company Dark Horse Boffo Brown Ale,Boffo Brown Ale,Dark Horse Brewing Company,Brown Ale,English,7.0,15,25,11,80,18,60,66,4,0,9,56,8,130,3.832,3.776,3.716,3.876,3.848,125
Cigar City Brewing Maduro Oatmeal Brown Ale - Oatmeal Raisin Cookie,Oatmeal Raisin Cookie Brown Ale,Cigar City Brewing,Brown Ale,English,5.5,15,25,6,66,12,19,133,18,3,60,17,72,162,4.014706,3.970588,3.790441,4.125,3.974265,136
Tröegs Brewing Company Tröegs Rugged Trail Nut Brown Ale,Rugged Trail Nut Brown Ale,Tröegs Brewing Company,Brown Ale,English,5.0,15,25,14,64,3,54,59,16,0,15,52,8,148,3.626096,3.765351,3.587719,3.708333,3.900219,456
Black Toad Brewing Co. Black Toad Dark Ale,Black Toad Dark Ale,Black Toad Brewing Co.,Brown Ale,English,5.3,15,25,8,48,7,57,50,5,1,7,47,1,114,3.446009,3.647887,3.462441,3.525822,3.629108,213
Legend Brewing Co. Brown Ale,Brown Ale,Legend Brewing Co.,Brown Ale,English,6.0,15,25,19,34,6,34,42,9,0,5,30,0,84,3.734694,3.882653,3.811224,3.897959,3.994898,98
Real Ale Brewing Company Brewhouse Brown Ale,Brewhouse Brown Ale,Real Ale Brewing Company,Brown Ale,English,5.4,15,25,20,72,14,50,78,7,0,9,32,7,133,3.477376,3.656109,3.493213,3.644796,3.708145,221
Ithaca Beer Company Nut Brown Ale,Nut Brown Ale,Ithaca Beer Company,Brown Ale,English,5.4,15,25,8,62,18,53,62,4,0,6,35,15,168,3.668421,3.597368,3.531579,3.65,3.723684,190
Woodstock Inn Brewery Pig's Ear Brown Ale,Pig's Ear Brown Ale,Woodstock Inn Brewery,Brown Ale,English,4.3,15,25,12,55,12,46,66,13,0,10,53,4,130,3.517699,3.699115,3.517699,3.60177,3.743363,113
Jackie O's Pub & Brewery Chomolungma,Chomolungma,Jackie O's Pub & Brewery,Brown Ale,English,6.5,15,25,8,45,6,36,70,15,1,15,31,4,112,3.636364,3.818182,3.909091,3.818182,3.863636,11
Peak Organic Brewing Company Peak Organic Nut Brown Ale,Nut Brown Ale,Peak Organic Brewing Company,Brown Ale,English,4.7,15,25,17,58,4,54,67,8,0,7,60,3,141,3.539062,3.742188,3.488281,3.554688,3.628906,128
Short's Brewing Company Short's The Woodmaster,Woodmaster,Short's Brewing Company,Brown Ale,English,9.9,15,25,9,49,49,18,158,25,0,38,28,15,152,3.833333,3.764368,3.787356,3.666667,3.574713,87
Big Boss Brewing Bad Penny Brown Ale,Bad Penny,Big Boss Brewing,Brown Ale,English,5.2,15,25,13,54,9,24,48,12,0,11,21,2,103,3.592593,3.611111,3.524691,3.679012,3.790123,81
DuClaw Brewing Company Euphoria,Euforia,DuClaw Brewing Company,Brown Ale,English,5.0,15,25,11,48,8,29,65,5,0,5,29,8,147,3.9375,3.5,3.5625,3.75,3.5,8
Upslope Brewing Company Brown Ale,Brown Ale,Upslope Brewing Company,Brown Ale,English,6.7,15,25,17,83,13,64,90,9,0,6,54,11,154,3.714286,3.857143,3.857143,3.904762,3.857143,21
Nebraska Brewing Company NBC Brunette Nut Brown Ale,Brunette Nut Brown Ale,Nebraska Brewing Company,Brown Ale,English,4.8,15,25,13,55,2,25,64,13,1,21,28,2,117,3.125,3.5,3.0,3.0,3.25,4
Santa Fe Brewing Company Nut Brown Ale,Nut Brown Ale,Santa Fe Brewing Company,Brown Ale,English,5.2,15,25,23,49,10,35,54,4,1,4,45,2,127,3.338542,3.635417,3.302083,3.380208,3.489583,96
Saint Arnold Brewing Company Saint Arnold Brown Ale,Brown Ale,Saint Arnold Brewing Company,Brown Ale,English,5.3,15,25,11,69,8,36,72,12,0,8,37,6,117,3.483333,3.45,3.491667,3.566667,3.666667,120
Back Forty Beer Co. Truck Stop Honey Brown Ale,Truck Stop Honey Brown Ale,Back Forty Beer Co.,Brown Ale,English,6.0,15,25,9,30,4,15,97,8,0,6,30,2,135,3.65625,3.46875,3.46875,3.5625,3.84375,16
Ska Brewing Co. Buster Nut Brown Ale,Buster Nut Brown Ale,Ska Brewing Co.,Brown Ale,English,5.15,15,25,10,62,11,41,74,9,0,12,39,2,142,3.486957,3.678261,3.291304,3.404348,3.543478,115
Flossmoor Station Restaurant & Brewery Pullman Brown Ale,Pullman Nut Brown,Flossmoor Station Restaurant & Brewery,Brown Ale,English,6.0,15,25,8,96,11,67,92,10,2,13,28,4,177,3.983553,3.917763,3.960526,4.078947,4.046053,152
Arcadia Brewing Company Arcadia Nut Brown Ale,Nut Brown Ale,Arcadia Brewing Company,Brown Ale,English,6.0,15,25,8,54,16,42,73,26,0,19,52,7,131,3.415323,3.576613,3.451613,3.451613,3.572581,124
Alaskan Brewing Co. Alaskan Heritage Coffee Brown Ale,Heritage Coffee Brown Ale,Alaskan Brewing Co.,Brown Ale,English,7.0,15,25,17,60,13,111,49,11,0,6,31,1,167,4.333333,4.0,3.666667,4.166667,4.0,3
Big Rock Brewery Traditional Ale,Traditional Ale,Big Rock Brewery,Brown Ale,English,5.0,15,25,7,43,5,22,65,11,0,7,26,3,96,3.240964,3.46988,3.385542,3.385542,3.554217,83
Brau Brothers Brewing Co. LLC Ring Neck Braun Ale,Ring Neck Braun Ale,Brau Brothers Brewing Co. LLC,Brown Ale,English,6.8,15,25,13,100,9,28,98,17,0,27,25,5,133,3.9,3.785714,3.85,3.971429,3.942857,70
Moat Mountain Smoke House & Brewing Co. Moat Brown,Bone Shaker Brown,Moat Mountain Smoke House & Brewing Co.,Brown Ale,English,5.5,15,25,12,44,2,37,47,4,1,6,43,10,114,3.961538,4.115385,4.115385,4.269231,4.269231,13
Shipyard Brewing Co. Brewer's Brown Ale,Brewer's Brown Ale,Shipyard Brewing Co.,Brown Ale,English,5.4,15,25,15,62,10,50,79,20,1,33,45,9,127,3.56087,3.686957,3.530435,3.656522,3.691304,115
D.L. Geary Brewing Company Geary's Autumn Ale,Geary's Autumn Ale,D.L. Geary Brewing Company,Brown Ale,English,5.8,15,25,14,65,10,57,93,13,0,13,57,16,145,3.70082,3.811475,3.672131,3.790984,3.831967,122
Sprecher Brewing Company Pub Brown Ale,Pub Brown Ale,Sprecher Brewing Company,Brown Ale,English,4.8,15,25,12,51,13,27,78,9,3,15,36,3,164,3.551402,3.668224,3.490654,3.635514,3.883178,107
Empyrean Brewing Company Third Stone Brown,Third Stone Brown,Empyrean Brewing Company,Brown Ale,English,5.3,15,25,12,84,9,29,68,19,0,18,33,7,133,3.560345,3.672414,3.422414,3.637931,3.689655,58
Anchor Brewing Company Anchor Steam Beer,Anchor Steam Beer,Anchor Brewing Company,California Common / Steam Beer,None,4.9,35,45,31,35,13,41,60,42,3,41,58,11,77,3.636701,3.921804,3.825628,3.888413,4.059646,1752
Toppling Goliath Brewing Company Dorothy's New World Lager,Dorothy's New World Lager,Toppling Goliath Brewing Company,California Common / Steam Beer,None,5.5,35,45,39,70,5,43,46,58,13,45,75,7,126,3.5,4.0,4.0,4.0,4.333333,3
Furthermore Beer Oscura,Oscura,Furthermore Beer,California Common / Steam Beer,None,5.3,35,45,23,53,12,133,49,18,2,11,26,7,173,3.850746,3.720149,3.820896,3.914179,3.869403,134
Local Option Dampf Loc,Dampf Loc,Local Option,California Common / Steam Beer,None,5.3,35,45,30,56,28,44,77,50,6,46,73,16,148,3.5,4.166667,4.166667,3.666667,3.833333,3
Steamworks Brewing Co. Steam Engine Lager,Steam Engine Lager,Steamworks Brewing Co.,California Common / Steam Beer,None,5.5,35,45,27,40,7,47,46,13,1,14,68,2,92,3.25,3.451087,3.320652,3.358696,3.472826,92
Short's Brewing Company Short's Village Reserve,Village Reserve,Short's Brewing Company,California Common / Steam Beer,None,4.7,35,45,25,31,18,78,28,51,5,63,118,4,61,3.8,4.1,4.1,4.0,4.0,5
Peekskill Brewery Hop Common,Hop Common,Peekskill Brewery,California Common / Steam Beer,None,5.7,35,45,17,20,4,55,12,33,0,34,77,2,39,3.666667,3.888889,4.055556,4.055556,3.888889,9
Cismontane Brewing Company The Citizen,The Citizen,Cismontane Brewing Company,California Common / Steam Beer,None,6.0,35,45,18,40,7,45,52,49,2,53,76,8,79,3.5,3.75,3.75,3.5,3.75,2
Ölvisholt Brugghús Skjálfti,Skjálfti,Ölvisholt Brugghús,California Common / Steam Beer,None,5.0,35,45,15,48,3,71,47,41,2,45,96,6,97,3.7,3.8125,3.6875,3.6875,3.8375,40
Mountain Goat Beer Pty Ltd Mountain Goat Steam Ale,Mountain Goat Steam Ale,Mountain Goat Beer Pty Ltd,California Common / Steam Beer,None,4.5,35,45,29,32,8,32,41,54,0,53,43,8,42,3.357143,3.452381,3.52381,3.380952,3.619048,21
Sierra Blanca Brewing Company (Rio Grande) Rio Grande Outlaw Lager,Rio Grande Outlaw LagerSierra Blanca Brewing Company (Rio Grande),Sierra Blanca Brewing Company (Rio Grande),California Common / Steam Beer,None,5.2,35,45,18,29,9,37,42,11,1,9,42,5,76,3.346154,3.230769,3.038462,2.923077,3.115385,13
Liberty Street Brewing Company Steamy Windows,Steamy Windows,Liberty Street Brewing Company,California Common / Steam Beer,None,5.6,35,45,13,27,8,28,26,28,0,24,43,4,35,4.166667,4.0,3.833333,4.333333,4.333333,3
Beer Works Boston Common,Boston Common,Beer Works,California Common / Steam Beer,None,5.0,35,45,2,37,8,28,27,22,0,19,40,4,35,3.458333,3.666667,3.916667,3.625,3.75,12
Lake Louie Brewery Company Mosquito Beach,Mosquito Beach,Lake Louie Brewery Company,California Common / Steam Beer,None,6.0,35,45,8,29,4,33,41,14,3,22,54,3,75,3.666667,3.916667,3.791667,3.916667,4.083333,12
Portsmouth Brewing Co. / Mault's Brewpub Portsmouth Brewing Red Bird Ale,Red Bird Ale,Portsmouth Brewing Co. / Mault's Brewpub,California Common / Steam Beer,None,4.8,35,45,8,22,5,21,27,13,0,7,26,3,30,3.333333,3.5,3.25,3.083333,3.25,6
Aviator Brewing Company Steamhead,Steamhead,Aviator Brewing Company,California Common / Steam Beer,None,5.8,35,45,9,18,6,24,26,15,1,9,34,1,43,3.6,3.4,3.6,3.5,3.7,5
Anaheim Brewery 1888.0,1888,Anaheim Brewery,California Common / Steam Beer,None,5.5,35,45,1,10,1,11,5,8,0,7,19,1,13,3.25,3.75,4.0,3.5,3.5,2
Linden Street Brewery Urban People's Common Lager,Urban People's Common Lager,Linden Street Brewery,California Common / Steam Beer,None,5.5,35,45,9,14,1,16,11,10,1,10,33,3,12,3.833333,4.166667,4.166667,4.0,4.333333,3
Palmetto Brewing Company Palmetto Aftershock,Aftershock,Palmetto Brewing Company,California Common / Steam Beer,None,6.4,35,45,1,9,3,11,6,8,0,5,11,2,11,3.666667,3.833333,3.666667,3.5,3.666667,3
Sun King Brewing Company Westy,Westy,Sun King Brewing Company,California Common / Steam Beer,None,6.7,35,45,7,2,2,11,5,5,0,6,12,1,8,3.75,4.0,4.125,4.125,4.0,4
Dogfish Head Brewery Theobroma,Theobroma,Dogfish Head Brewery,Chile Beer,None,9.0,0,0,7,70,21,35,74,31,0,27,9,59,84,3.616114,3.651659,3.740916,3.796998,3.695103,633
Rogue Ales Chipotle Ale,Chipotle Ale,Rogue Ales,Chile Beer,None,5.4,0,0,13,30,25,32,21,7,0,7,40,170,47,3.557549,3.732436,3.629297,3.629297,3.421525,669
Twisted Pine Brewing Company Ghost Face Killah,Ghost Face Killah,Twisted Pine Brewing Company,Chile Beer,None,5.0,0,0,6,17,26,26,10,6,0,2,11,96,20,3.635135,3.216216,2.918919,3.297297,3.135135,37
5 Rabbit Cerveceria 5 Vulture,5 Vulture,5 Rabbit Cerveceria,Chile Beer,None,6.4,0,0,5,44,24,26,66,8,2,15,13,87,74,3.818182,3.818182,3.727273,3.818182,3.727273,11
Twisted Pine Brewing Company Billy's Chilies Beer (Timberline Series),Billy's Chilies Beer (Timberline Series),Twisted Pine Brewing Company,Chile Beer,None,5.0,0,0,13,22,37,11,23,15,0,14,9,184,22,3.604651,3.325581,3.325581,3.383721,3.209302,43
Upright Brewing Company Fatali Four,Fatali Four,Upright Brewing Company,Chile Beer,None,4.5,0,0,36,33,43,12,44,140,1,83,31,105,30,3.875,3.65625,3.96875,4.1875,3.90625,16
